variable,x,y
bio9,-63.39804306030273,1.3150158739705375E-9
bio9,-63.17889505615234,1.5024866906188095E-9
bio9,-62.95974705200195,1.7159526022325622E-9
bio9,-62.74059904785156,1.958917028588303E-9
bio9,-62.52145104370117,2.235340801348684E-9
bio9,-62.30230303955078,2.5496851296935574E-9
bio9,-62.08315503540039,2.9070024165633868E-9
bio9,-61.86400703125,3.3129987642155356E-9
bio9,-61.644859027099606,3.774089485375498E-9
bio9,-61.425711022949216,4.297532107955249E-9
bio9,-61.206563018798825,4.891512084270744E-9
bio9,-60.987415014648434,5.565218064162991E-9
bio9,-60.76826701049804,6.3290319651798654E-9
bio9,-60.54911900634765,7.194645323949089E-9
bio9,-60.32997100219726,8.175165433499387E-9
bio9,-60.11082299804687,9.285382240875606E-9
bio9,-59.89167499389648,1.054192733107584E-8
bio9,-59.67252698974609,1.1963418700133843E-8
bio9,-59.453378985595705,1.3570837786858192E-8
bio9,-59.234230981445315,1.5387744412009852E-8
bio9,-59.015082977294924,1.744047928298187E-8
bio9,-58.79593497314453,1.9758678249104378E-8
bio9,-58.57678696899414,2.2375582275913075E-8
bio9,-58.35763896484375,2.5328292352355675E-8
bio9,-58.13849096069336,2.865850312616658E-8
bio9,-57.91934295654297,3.241291324229678E-8
bio9,-57.70019495239258,3.664356640342703E-8
bio9,-57.48104694824219,4.1408878104221E-8
bio9,-57.2618989440918,4.677417564380448E-8
bio9,-57.042750939941406,5.281216530761412E-8
bio9,-56.823602935791016,5.960433213658689E-8
bio9,-56.604454931640625,6.724169310245998E-8
bio9,-56.385306927490234,7.582536909467308E-8
bio9,-56.16615892333984,8.546858509816957E-8
bio9,-55.94701091918945,9.629759745166666E-8
bio9,-55.72786291503906,1.084524825500921E-7
bio9,-55.50871491088867,1.2208985822326213E-7
bio9,-55.28956690673828,1.3738414850195113E-7
bio9,-55.07041890258789,1.5452859258857643E-7
bio9,-54.8512708984375,1.7373889704686007E-7
bio9,-54.63212289428711,1.9525502636952297E-7
bio9,-54.41297489013672,2.193423682683715E-7
bio9,-54.193826885986326,2.4629684958199505E-7
bio9,-53.974678881835935,2.7644716737995623E-7
bio9,-53.755530877685544,3.10156281102536E-7
bio9,-53.53638287353515,3.478284043012536E-7
bio9,-53.31723486938476,3.899118325989548E-7
bio9,-53.09808686523438,4.369009616311814E-7
bio9,-52.87893886108398,4.893454956800269E-7
bio9,-52.6597908569336,5.478543130266189E-7
bio9,-52.4406428527832,6.130978249530017E-7
bio9,-52.22149484863281,6.858205097159953E-7
bio9,-52.00234684448242,7.668458579246362E-7
bio9,-51.783198840332034,8.570791010242829E-7
bio9,-51.564050836181636,9.57524093792017E-7
bio9,-51.34490283203125,1.0692898513298132E-6
bio9,-51.125754827880854,1.1935933343920624E-6
bio9,-50.90660682373047,1.3317826415004674E-6
bio9,-50.68745881958008,1.4853443417450762E-6
bio9,-50.46831081542969,1.6559079085709527E-6
bio9,-50.2491628112793,1.8452757331033354E-6
bio9,-50.03001480712891,2.0554323327814927E-6
bio9,-49.810866802978516,2.2885496946400963E-6
bio9,-49.591718798828126,2.5470269520155853E-6
bio9,-49.372570794677735,2.8335023216641275E-6
bio9,-49.153422790527344,3.1508579922956415E-6
bio9,-48.93427478637695,3.502274012134876E-6
bio9,-48.71512678222656,3.891242158715613E-6
bio9,-48.49597877807617,4.321570486354176E-6
bio9,-48.27683077392578,4.797455858351896E-6
bio9,-48.05768276977539,5.323499408405041E-6
bio9,-47.838534765625,5.904711088078329E-6
bio9,-47.61938676147461,6.546605163748609E-6
bio9,-47.40023875732422,7.255217497004196E-6
bio9,-47.18109075317383,8.037111001613084E-6
bio9,-46.961942749023436,8.899498425307684E-6
bio9,-46.74279474487305,9.850264177657664E-6
bio9,-46.523646740722654,1.089796751330141E-5
bio9,-46.30449873657226,1.2051999874529429E-5
bio9,-46.08535073242187,1.3322616723598912E-5
bio9,-45.86620272827148,1.4720927538292017E-5
bio9,-45.64705472412109,1.6259113181149587E-5
bio9,-45.4279067199707,1.7950447727344E-5
bio9,-45.20875871582031,1.9809291188721545E-5
bio9,-44.989610711669926,2.185136872867588E-5
bio9,-44.77046270751953,2.4093786123557948E-5
bio9,-44.551314703369144,2.655502612469718E-5
bio9,-44.332166699218746,2.9255290428409353E-5
bio9,-44.11301869506836,3.2216532417805865E-5
bio9,-43.893870690917964,3.546242442098446E-5
bio9,-43.67472268676758,3.901881063939072E-5
bio9,-43.45557468261718,4.2913736251648515E-5
bio9,-43.2364266784668,4.717738556792028E-5
bio9,-43.0172786743164,5.184267138247378E-5
bio9,-42.79813067016602,5.6945253163576126E-5
bio9,-42.57898266601562,6.25234461040236E-5
bio9,-42.359834661865236,6.861908332211897E-5
bio9,-42.14068665771484,7.527697744080797E-5
bio9,-41.921538653564454,8.254586282419041E-5
bio9,-41.70239064941406,9.047842468135059E-5
bio9,-41.48324264526367,9.913110989145935E-5
bio9,-41.26409464111328,1.0856522567337379E-4
bio9,-41.04494663696289,1.1884696141351014E-4
bio9,-40.8257986328125,1.3004707579966635E-4
bio9,-40.60665062866211,1.4224235201254487E-4
bio9,-40.38750262451172,1.5551551769021899E-4
bio9,-40.16835462036133,1.6995487385429442E-4
bio9,-39.94920661621094,1.8565614300314337E-4
bio9,-39.730058612060546,2.0272225083317608E-4
bio9,-39.51091060791016,2.2126288968138397E-4
bio9,-39.291762603759764,2.4139675952028483E-4
bio9,-39.07261459960937,2.632513642311096E-4
bio9,-38.85346659545898,2.8696225490421057E-4
bio9,-38.63431859130859,3.1267598387785256E-4
bio9,-38.4151705871582,3.4054971183650196E-4
bio9,-38.19602258300781,3.7075020372867584E-4
bio9,-37.97687457885742,4.034574667457491E-4
bio9,-37.75772657470703,4.388642846606672E-4
bio9,-37.53857857055664,4.771747626364231E-4
bio9,-37.319430566406254,5.186090129427612E-4
bio9,-37.100282562255856,5.634023109450936E-4
bio9,-36.88113455810547,6.118032615631819E-4
bio9,-36.661986553955074,6.640796200372279E-4
bio9,-36.44283854980469,7.205171277746558E-4
bio9,-36.22369054565429,7.814170676283538E-4
bio9,-36.00454254150391,8.471034816466272E-4
bio9,-35.78539453735351,9.179215994663537E-4
bio9,-35.56624653320313,9.94234811514616E-4
bio9,-35.34709852905273,0.0010764331091195345
bio9,-35.127950524902346,0.0011649316875264049
bio9,-34.90880252075195,0.0012601661728695035
bio9,-34.689654516601564,0.0013626039726659656
bio9,-34.470506512451166,0.0014727412490174174
bio9,-34.25135850830078,0.0015910979127511382
bio9,-34.03221050415039,0.001718230894766748
bio9,-33.8130625,0.001854729955084622
bio9,-33.59391449584961,0.0020012122113257647
bio9,-33.37476649169922,0.0021583372727036476
bio9,-33.15561848754883,0.002326803281903267
bio9,-32.93647048339844,0.0025073376018553972
bio9,-32.71732247924805,0.0027007178869098425
bio9,-32.498174475097656,0.002907764632254839
bio9,-32.279026470947265,0.0031293316278606653
bio9,-32.059878466796874,0.003366329474374652
bio9,-31.840730462646484,0.0036197148729115725
bio9,-31.621582458496093,0.0038904903922230005
bio9,-31.402434454345702,0.00417970959097147
bio9,-31.18328645019531,0.004488485865294933
bio9,-30.96413844604492,0.004817981272935867
bio9,-30.74499044189453,0.005169414449483156
bio9,-30.52584243774414,0.005544071551412344
bio9,-30.306694433593748,0.0059432899579405785
bio9,-30.087546429443364,0.006368470378220081
bio9,-29.868398425292973,0.006821087095886469
bio9,-29.649250421142575,0.007302671205252409
bio9,-29.430102416992185,0.007814818993210793
bio9,-29.210954412841794,0.008359212428331375
bio9,-28.99180640869141,0.008937587961554527
bio9,-28.77265840454102,0.009551755152642727
bio9,-28.55351040039062,0.010203612968325615
bio9,-28.33436239624023,0.010895120911300182
bio9,-28.115214392089847,0.01162831299006939
bio9,-27.896066387939456,0.012405320070683956
bio9,-27.676918383789065,0.013228329829871655
bio9,-27.457770379638667,0.014099611900746822
bio9,-27.238622375488276,0.015021533705294132
bio9,-27.019474371337893,0.015996523201465607
bio9,-26.800326367187502,0.01702708564698696
