variable,x,y
bio14,-33.9,1.03318548281095E-4
bio14,-33.4932,1.1357303064869476E-4
bio14,-33.0864,1.238275130162947E-4
bio14,-32.6796,1.3600611346191717E-4
bio14,-32.2728,1.4818471390753984E-4
bio14,-31.866,1.6262533099506977E-4
bio14,-31.4592,1.770659480825998E-4
bio14,-31.0524,1.9416103641560766E-4
bio14,-30.645599999999998,2.1125612474861554E-4
bio14,-30.238799999999998,2.314607456355589E-4
bio14,-29.832,2.5166536652250216E-4
bio14,-29.4252,2.7550629893084987E-4
bio14,-29.0184,2.9934723133919763E-4
bio14,-28.6116,3.2743275005486794E-4
bio14,-28.2048,3.5551826877053825E-4
bio14,-27.798,3.885495490976609E-4
bio14,-27.391199999999998,4.215808294247836E-4
bio14,-26.9844,4.603643676091448E-4
bio14,-26.577599999999997,4.991479057935066E-4
bio14,-26.1708,5.446097937237937E-4
bio14,-25.764,5.900716816540808E-4
bio14,-25.3572,6.432725713239052E-4
bio14,-24.950400000000002,6.964734609937295E-4
bio14,-24.543599999999998,7.586257517687052E-4
bio14,-24.1368,8.207780425436795E-4
bio14,-23.73,8.932652533985674E-4
bio14,-23.3232,9.657524642534554E-4
bio14,-22.9164,0.0010501488752197475
bio14,-22.5096,0.0011345452861860395
bio14,-22.102800000000002,0.0012326390569796775
bio14,-21.695999999999998,0.0013307328277733176
bio14,-21.2892,0.0014445500419242305
bio14,-20.8824,0.001558367256075144
bio14,-20.4756,0.0016901994647923857
bio14,-20.0688,0.0018220316735096276
bio14,-19.662,0.0019744629156775773
bio14,-19.2552,0.002126894157845527
bio14,-18.848399999999998,0.0023028322088066494
bio14,-18.4416,0.0024787702597677706
bio14,-18.034799999999997,0.002681480720639231
bio14,-17.628,0.002884191181510687
bio14,-17.2212,0.0031173297087661923
bio14,-16.8144,0.0033504682360216975
bio14,-16.407600000000002,0.0036181185627356164
bio14,-16.0008,0.003885768889449537
bio14,-15.594000000000001,0.004192480456549674
bio14,-15.1872,0.004499192023649812
bio14,-14.7804,0.00485002021305263
bio14,-14.3736,0.005200848402455449
