variable,x,y
bio9,-63.39804306030273,6.021418424317914E-7
bio9,-63.28846905822754,6.304248153676797E-7
bio9,-63.17889505615234,6.587077883035696E-7
bio9,-63.06932105407715,6.895458723121796E-7
bio9,-62.95974705200195,7.203839563207914E-7
bio9,-62.85017304992676,7.539988438887135E-7
bio9,-62.74059904785156,7.876137314566378E-7
bio9,-62.63102504577637,8.242455399487524E-7
bio9,-62.52145104370117,8.608773484408694E-7
bio9,-62.41187704162598,9.00783917046065E-7
bio9,-62.30230303955078,9.406904856512633E-7
bio9,-62.19272903747559,9.841527967180395E-7
bio9,-62.08315503540039,1.0276151077848183E-6
bio9,-61.973581033325196,1.0749372450269399E-6
bio9,-61.86400703125,1.1222593822690641E-6
bio9,-61.754433029174805,1.173767440232341E-6
bio9,-61.644859027099606,1.2252754981956216E-6
bio9,-61.535285025024415,1.2813245660658872E-6
bio9,-61.425711022949216,1.3373736339361563E-6
bio9,-61.316137020874024,1.3983476589263223E-6
bio9,-61.206563018798825,1.4593216839164923E-6
bio9,-61.09698901672363,1.5256320536005654E-6
bio9,-60.987415014648434,1.5919424232846425E-6
bio9,-60.87784101257324,1.6640366552689276E-6
bio9,-60.76826701049804,1.7361308872532177E-6
bio9,-60.65869300842285,1.8144924236795897E-6
bio9,-60.54911900634765,1.8928539601059668E-6
bio9,-60.43954500427246,1.9780002806724066E-6
bio9,-60.32997100219726,2.063146601238852E-6
bio9,-60.22039700012207,2.1556401192002163E-6
bio9,-60.11082299804687,2.248133637161587E-6
bio9,-60.00124899597168,2.3485815164980792E-6
bio9,-59.89167499389648,2.449029395834579E-6
bio9,-59.78210099182129,2.5580806313540943E-6
bio9,-59.67252698974609,2.6671318668736175E-6
bio9,-59.5629529876709,2.785491567813825E-6
bio9,-59.453378985595705,2.903851268754032E-6
bio9,-59.343804983520506,3.032279523806917E-6
bio9,-59.234230981445315,3.160707778859795E-6
bio9,-59.124656979370116,3.3000166548169444E-6
bio9,-59.015082977294924,3.4393255307740843E-6
bio9,-58.905508975219725,3.5903962730232713E-6
bio9,-58.79593497314453,3.741467015272448E-6
bio9,-58.686360971069334,3.90524889597455E-6
bio9,-58.57678696899414,4.069030776676641E-6
bio9,-58.46721296691894,4.246536784591198E-6
bio9,-58.35763896484375,4.4240427925057444E-6
bio9,-58.24806496276855,4.61637144908434E-6
bio9,-58.13849096069336,4.808700105662922E-6
bio9,-58.02891695861816,5.017033617660267E-6
bio9,-57.91934295654297,5.225367129657599E-6
bio9,-57.80976895446777,5.450965620878997E-6
bio9,-57.70019495239258,5.67656411210038E-6
bio9,-57.59062095031738,5.920793075153704E-6
bio9,-57.48104694824219,6.165022038207013E-6
bio9,-57.37147294616699,6.429350224301808E-6
bio9,-57.2618989440918,6.693678410396586E-6
bio9,-57.1523249420166,6.979668670137338E-6
bio9,-57.042750939941406,7.265658929878072E-6
bio9,-56.93317693786621,7.575004506410476E-6
bio9,-56.823602935791016,7.884350082942859E-6
bio9,-56.71402893371582,8.21886984927468E-6
bio9,-56.604454931640625,8.553389615606477E-6
bio9,-56.494880929565426,8.915017448796202E-6
bio9,-56.385306927490234,9.276645281985906E-6
bio9,-56.275732925415035,9.667474406072088E-6
bio9,-56.16615892333984,1.0058303530158242E-5
bio9,-56.056584921264644,1.0480580603733373E-5
bio9,-55.94701091918945,1.0902857677308476E-5
bio9,-55.83743691711426,1.1358969061614474E-5
bio9,-55.72786291503906,1.18150804459205E-5
bio9,-55.61828891296386,1.2307606877026716E-5
bio9,-55.50871491088867,1.28001333081329E-5
bio9,-55.39914090881348,1.3331842599484373E-5
bio9,-55.28956690673828,1.3863551890835879E-5
bio9,-55.17999290466308,1.4437380093568227E-5
bio9,-55.07041890258789,1.5011208296300537E-5
bio9,-54.9608449005127,1.563032933926676E-5
bio9,-54.8512708984375,1.624945038223302E-5
bio9,-54.741696896362306,1.6917264273530442E-5
bio9,-54.63212289428711,1.7585078164827904E-5
bio9,-54.522548892211915,1.8305187672673617E-5
bio9,-54.41297489013672,1.9025297180519374E-5
bio9,-54.303400888061525,1.9801595073687367E-5
bio9,-54.193826885986326,2.0577892966855417E-5
bio9,-54.084252883911134,2.141454427118103E-5
bio9,-53.974678881835935,2.2251195575506698E-5
bio9,-53.86510487976074,2.3152611145960093E-5
bio9,-53.755530877685544,2.4054026716413546E-5
bio9,-53.64595687561035,2.502496458163247E-5
bio9,-53.53638287353515,2.599590244685146E-5
bio9,-53.42680887145996,2.7041454715614995E-5
bio9,-53.31723486938476,2.8087006984378605E-5
bio9,-53.20766086730957,2.9212554612456642E-5
bio9,-53.09808686523438,3.0338102240534683E-5
bio9,-52.98851286315918,3.154945126055963E-5
bio9,-52.87893886108398,3.276080028058459E-5
bio9,-52.76936485900879,3.4064154387891676E-5
bio9,-52.6597908569336,3.536750849519876E-5
bio9,-52.5502168548584,3.676941843409054E-5
bio9,-52.4406428527832,3.817132837298231E-5
bio9,-52.33106885070801,3.9678856678193555E-5
bio9,-52.22149484863281,4.118638498340488E-5
bio9,-52.11192084655762,4.2807070006745056E-5
bio9,-52.00234684448242,4.4427755030085335E-5
bio9,-51.892772842407226,4.616955070773088E-5
bio9,-51.783198840332034,4.791134638537642E-5
bio9,-51.673624838256835,4.978281951792951E-5
bio9,-51.564050836181636,5.16542926504826E-5
bio9,-51.454476834106444,5.366458286317766E-5
bio9,-51.34490283203125,5.567487307587271E-5
bio9,-51.23532882995605,5.783360686137939E-5
bio9,-51.125754827880854,5.9992340646886076E-5
bio9,-51.01618082580566,6.23098845622394E-5
bio9,-50.90660682373047,6.462742847759272E-5
bio9,-50.79703282165527,6.711483075889655E-5
bio9,-50.68745881958008,6.960223304020019E-5
bio9,-50.57788481750488,7.227111916705562E-5
bio9,-50.46831081542969,7.494000529391087E-5
bio9,-50.35873681335449,7.780288185301751E-5
bio9,-50.2491628112793,8.066575841212398E-5
bio9,-50.1395888092041,8.373594640715974E-5
bio9,-50.03001480712891,8.680613440219531E-5
bio9,-49.92044080505371,9.009763266760739E-5
bio9,-49.810866802978516,9.338913093301927E-5
bio9,-49.70129280090332,9.691699241045636E-5
bio9,-49.591718798828126,1.0044485388789326E-4
bio9,-49.48214479675293,1.0422509299132811E-4
bio9,-49.372570794677735,1.0800533209476271E-4
bio9,-49.262996792602536,1.1205476150735207E-4
bio9,-49.153422790527344,1.1610419091994118E-4
bio9,-49.04384878845215,1.2044087962408397E-4
bio9,-48.93427478637695,1.2477756832822705E-4
bio9,-48.824700784301754,1.2942072180521807E-4
bio9,-48.71512678222656,1.3406387528220877E-4
bio9,-48.60555278015136,1.3903362963674242E-4
bio9,-48.49597877807617,1.4400338399127576E-4
bio9,-48.38640477600097,1.493213663081862E-4
bio9,-48.27683077392578,1.5463934862509633E-4
bio9,-48.16725677185059,1.6032852587954933E-4
bio9,-48.05768276977539,1.6601770313400265E-4
bio9,-47.94810876770019,1.721021370087785E-4
bio9,-47.838534765625,1.7818657088355394E-4
bio9,-47.72896076354981,1.8469207336693194E-4
bio9,-47.61938676147461,1.9119757585031038E-4
bio9,-47.50981275939941,1.9815154219031704E-4
bio9,-47.40023875732422,2.051055085303233E-4
bio9,-47.290664755249026,2.1253660551110421E-4
bio9,-47.18109075317383,2.1996770249188558E-4
bio9,-47.07151675109863,2.2790666700984755E-4
bio9,-46.961942749023436,2.35845631527809E-4
bio9,-46.852368746948244,2.443250445026024E-4
bio9,-46.74279474487305,2.528044574773958E-4
bio9,-46.63322074279785,2.6185837771208753E-4
bio9,-46.523646740722654,2.709122979467793E-4
bio9,-46.41407273864746,2.805772258852809E-4
bio9,-46.30449873657226,2.9024215382378316E-4
bio9,-46.19492473449707,3.005567470836464E-4
bio9,-46.08535073242187,3.1087134034351037E-4
bio9,-45.97577673034668,3.2187594504193805E-4
bio9,-45.86620272827148,3.328805497403664E-4
bio9,-45.75662872619629,3.446183869755256E-4
bio9,-45.64705472412109,3.5635622421068545E-4
bio9,-45.5374807220459,3.688730366548039E-4
bio9,-45.4279067199707,3.8138984909892316E-4
bio9,-45.3183327178955,3.947333208543573E-4
bio9,-45.20875871582031,4.080767926097906E-4
bio9,-45.09918471374512,4.222979543101246E-4
bio9,-44.989610711669926,4.365191160104587E-4
bio9,-44.88003670959472,4.516719336606921E-4
bio9,-44.77046270751953,4.668247513109236E-4
bio9,-44.660888705444336,4.82965435639926E-4
bio9,-44.551314703369144,4.991061199689284E-4
bio9,-44.441740701293945,5.162947431017528E-4
bio9,-44.332166699218746,5.334833662345772E-4
bio9,-44.222592697143554,5.517834567854152E-4
bio9,-44.11301869506836,5.700835473362531E-4
bio9,-44.00344469299316,5.895611073356121E-4
bio9,-43.893870690917964,6.090386673349713E-4
bio9,-43.78429668884277,6.297643069501646E-4
bio9,-43.67472268676758,6.50489946565358E-4
bio9,-43.56514868469238,6.725381788783124E-4
bio9,-43.45557468261718,6.94586411191267E-4
bio9,-43.34600068054199,7.18034590499883E-4
bio9,-43.2364266784668,7.414827698084992E-4
bio9,-43.1268526763916,7.664135733648436E-4
bio9,-43.0172786743164,7.913443769211881E-4
bio9,-42.90770467224121,8.178449880688277E-4
bio9,-42.79813067016602,8.443455992164673E-4
bio9,-42.68855666809082,8.72506404084561E-4
bio9,-42.57898266601562,9.006672089526546E-4
bio9,-42.46940866394043,9.305853003752418E-4
bio9,-42.359834661865236,9.605033917978289E-4
bio9,-42.250260659790044,9.922788777657822E-4
bio9,-42.14068665771484,0.0010240543637337397
bio9,-42.031112655639646,0.0010577941575320438
bio9,-41.921538653564454,0.0010915339513303478
bio9,-41.81196465148926,0.0011273505671852025
bio9,-41.70239064941406,0.0011631671830400591
bio9,-41.592816647338864,0.0012011770382741828
bio9,-41.48324264526367,0.001239186893508304
bio9,-41.37366864318848,0.0012795142227332676
bio9,-41.26409464111328,0.001319841551958234
bio9,-41.15452063903808,0.0013626169951749048
bio9,-41.04494663696289,0.0014053924383915727
bio9,-40.9353726348877,0.0014507509580653263
bio9,-40.8257986328125,0.0014961094777390827
bio9,-40.7162246307373,0.0015441950057720549
bio9,-40.60665062866211,0.0015922805338050238
bio9,-40.49707662658691,0.0016432442836958234
bio9,-40.38750262451172,0.0016942080335866194
bio9,-40.27792862243652,0.0017482059454778226
bio9,-40.16835462036133,0.0018022038573690224
bio9,-40.058780618286136,0.001859402235641026
bio9,-39.94920661621094,0.0019166006139130331
bio9,-39.83963261413574,0.001977173894192676
bio9,-39.730058612060546,0.0020377471744723154
